index_name,value,timestamp,date
深证指数,10082.11,2025-01-16 14:34:57,
上证指数,3229.44,2025-01-16 14:35:00,
深证指数,10084.36,2025-01-16 14:36:17,
上证指数,3230.3,2025-01-16 14:36:20,
深证指数,10083.52,2025-01-16 14:37:14,
上证指数,3230.02,2025-01-16 14:37:17,
深证指数,10085.43,2025-01-16 14:42:14,
上证指数,3231.22,2025-01-16 14:42:17,
深证指数,10084.74,2025-01-16 14:42:45,
上证指数,3231.16,2025-01-16 14:42:48,
深证指数,10092.46,2025-01-16 14:44:36,
上证指数,3233.55,2025-01-16 14:44:39,
深证指数,10091.58,2025-01-16 14:45:39,
上证指数,3233.95,2025-01-16 14:45:42,
深证指数,10096.43,2025-01-16 14:47:08,
上证指数,3234.71,2025-01-16 14:47:11,
深证指数,10095.88,2025-01-16 14:50:53,
上证指数,3234.92,2025-01-16 14:50:57,
深证指数,10095.37,2025-01-16 14:51:54,
上证指数,3234.99,2025-01-16 14:51:57,
深证指数,10097.06,2025-01-16 14:53:38,
上证指数,3234.87,2025-01-16 14:53:41,
深证指数,10101.1,2025-01-16 15:08:41,
上证指数,3236.03,2025-01-16 15:08:44,
深证指数,10101.1,2025-01-16 15:20:55,
上证指数,3236.03,2025-01-16 15:20:58,
深证指数,10101.1,2025-01-16 15:22:32,
上证指数,3236.03,2025-01-16 15:22:35,
深证指数,10101.1,2025-01-16 15:23:39,
上证指数,3236.03,2025-01-16 15:23:42,
深证指数,10101.1,2025-01-16 15:31:14,
上证指数,3236.03,2025-01-16 15:31:16,
深证指数,10101.1,2025-01-16 15:55:07,
上证指数,3236.03,2025-01-16 15:55:10,
深证指数,10101.1,2025-01-16 16:00:25,
上证指数,3236.03,2025-01-16 16:00:28,
深证指数,10101.1,2025-01-16 16:06:00,
上证指数,3236.03,2025-01-16 16:06:03,
深证指数,10101.1,2025-01-16 16:17:04,
上证指数,3236.03,2025-01-16 16:17:07,
深证指数,10101.1,2025-01-16 16:29:34,
上证指数,3236.03,2025-01-16 16:29:37,
深证指数,10101.1,2025-01-16 17:26:45,
上证指数,3236.03,2025-01-16 17:26:48,
深证指数,10101.1,2025-01-16 17:27:16,
上证指数,3236.03,2025-01-16 17:27:18,
深证指数,10101.1,2025-01-16 17:28:02,
上证指数,3236.03,2025-01-16 17:28:05,
深证指数,10101.1,2025-01-16 17:28:45,
上证指数,3236.03,2025-01-16 17:28:48,
深证指数,10101.1,2025-01-16 17:50:37,
上证指数,3236.03,2025-01-16 17:50:40,
深证指数,10101.1,2025-01-16 17:51:07,
上证指数,3236.03,2025-01-16 17:51:10,
深证指数,10101.1,2025-01-16 17:51:38,
上证指数,3236.03,2025-01-16 17:51:41,
深证指数,10101.1,2025-01-16 17:52:08,
上证指数,3236.03,2025-01-16 17:52:11,
深证指数,10101.1,2025-01-16 17:56:01,
上证指数,3236.03,2025-01-16 17:56:04,
深证指数,10101.1,2025-01-16 18:01:57,
上证指数,3236.03,2025-01-16 18:02:00,
深证指数,10101.1,2025-01-16 23:35:51,
上证指数,3236.03,2025-01-16 23:35:54,
深证指数,10101.1,2025-01-16 23:38:41,
上证指数,3236.03,2025-01-16 23:38:44,
深证指数,10101.1,2025-01-16 23:53:34,
上证指数,3236.03,2025-01-16 23:53:37,
深证指数,10101.1,2025-01-16 23:59:05,
上证指数,3236.03,2025-01-16 23:59:08,
深证指数,10101.1,2025-01-17 00:03:49,
上证指数,3236.03,2025-01-17 00:03:52,
深证指数,10101.1,2025-01-17 00:05:14,
上证指数,3236.03,2025-01-17 00:05:17,
深证指数,10101.1,2025-01-17 00:09:51,
上证指数,3236.03,2025-01-17 00:09:54,
深证指数,10101.1,2025-01-17 00:10:50,
上证指数,3236.03,2025-01-17 00:10:53,
深证指数,10101.1,2025-01-17 00:14:57,
上证指数,3236.03,2025-01-17 00:15:02,
深证指数,10081.93,2025-01-17 09:45:17,
上证指数,3223.46,2025-01-17 09:45:21,
深证指数,10075.35,2025-01-17 09:46:24,
上证指数,3223.93,2025-01-17 09:46:28,
深证指数,10073.07,2025-01-17 09:46:42,
上证指数,3224.36,2025-01-17 09:46:44,
深证指数,10097.4,2025-01-17 10:58:37,
上证指数,3233.27,2025-01-17 10:58:39,
深证指数,10170.12,2025-01-17 12:30:02,
上证指数,3248.9,2025-01-17 12:30:04,
深证指数,10170.12,2025-01-17 12:30:09,
上证指数,3248.9,2025-01-17 12:30:11,
深证指数,10170.12,2025-01-17 12:30:21,
上证指数,3248.9,2025-01-17 12:30:22,
深证指数,10170.12,2025-01-17 12:30:28,
上证指数,3248.9,2025-01-17 12:30:29,
深证指数,10170.12,2025-01-17 12:30:35,
上证指数,3248.9,2025-01-17 12:30:36,
深证指数,10170.12,2025-01-17 12:30:58,
上证指数,3248.9,2025-01-17 12:30:59,
深证指数,10170.12,2025-01-17 12:31:05,
上证指数,3248.9,2025-01-17 12:31:07,
深证指数,10170.12,2025-01-17 12:36:11,
上证指数,3248.9,2025-01-17 12:36:13,
深证指数,10178.06,2025-01-17 13:00:50,
上证指数,3248.46,2025-01-17 13:00:52,
深证指数,10161.32,2025-01-19 21:30:55,2025-01-17
上证指数,3241.82,2025-01-19 21:31:01,未获取到日期
深证指数,10161.32,2025-01-19 21:32:49,2025-01-17
上证指数,3241.82,2025-01-19 21:32:55,未获取到日期
深证指数,10161.32,2025-01-19 21:33:31,2025-01-17
上证指数,3241.82,2025-01-19 21:33:37,未获取到日期
深证指数,10161.32,2025-01-19 21:45:46,2025-01-17
上证指数,3241.82,2025-01-19 21:45:52,未获取到日期
深证指数,10161.32,2025-01-19 21:54:09,2025-01-17
上证指数,3241.82,2025-01-19 21:54:15,未获取到日期
深证指数,10161.32,2025-01-19 21:55:27,2025-01-17
上证指数,3241.82,2025-01-19 21:55:33,未获取到日期
深证指数,10161.32,2025-01-19 22:01:06,2025-01-17
上证指数,3241.82,2025-01-19 22:01:12,未获取到日期
深证指数,10161.32,2025-01-19 22:02:11,2025-01-17
上证指数,3241.82,2025-01-19 22:02:17,未获取到日期
深证指数,10161.32,2025-01-19 22:03:06,2025-01-17
上证指数,3241.82,2025-01-19 22:03:08,上证指数
深证指数,10161.32,2025-01-19 22:06:24,2025-01-17
上证指数,3241.82,2025-01-19 22:06:26,上证指数
深证指数,10161.32,2025-01-19 22:12:04,2025-01-17
上证指数,3241.82,2025-01-19 22:12:06,
深证指数,10161.32,2025-01-19 22:19:06,2025-01-17
上证指数,3241.82,2025-01-19 22:19:08,
深证指数,10161.32,2025-01-19 22:33:52,2025-01-17
上证指数,3241.82,2025-01-19 22:33:54,
深证指数,10161.32,2025-01-19 22:34:48,2025-01-17
上证指数,3241.82,2025-01-19 22:34:50,2025年01月17日 16:14:51 上证指数行情
深证指数,10161.32,2025-01-19 22:40:50,2025-01-17
上证指数,3241.82,2025-01-19 22:40:52,2025-01-17
深证指数,10161.32,2025-01-19 22:42:23,2025-01-17
上证指数,3241.82,2025-01-19 22:42:25,2025-01-17
深证指数,10161.32,2025-01-19 22:42:41,2025-01-17
上证指数,3241.82,2025-01-19 22:42:43,2025-01-17
深证指数,10161.32,2025-01-20 08:35:42,2025-01-17
上证指数,3241.82,2025-01-20 08:35:44,2025-01-17
深证指数,10240.71,2025-01-20 09:27:37,2025-01-17
上证指数,3256.15,2025-01-20 09:27:39,2025-01-20
深证指数,10257.71,2025-01-20 09:30:17,2025-01-17
上证指数,3257.56,2025-01-20 09:30:27,2025-01-20
深证指数,10251.74,2025-01-20 09:43:36,2025-01-17
上证指数,3253.91,2025-01-20 09:43:38,2025-01-20
深证指数,10254.25,2025-01-20 09:44:09,2025-01-17
上证指数,3252.8,2025-01-20 09:44:12,2025-01-20
深证指数,10295.82,2025-01-20 09:50:09,2025-01-17
上证指数,3261.66,2025-01-20 09:50:12,2025-01-20
深证指数,10316.22,2025-01-20 09:53:15,2025-01-17
上证指数,3263.07,2025-01-20 09:53:17,2025-01-20
深证指数,10306.56,2025-01-20 10:29:38,2025-01-17
上证指数,3262.84,2025-01-20 10:29:40,2025-01-20
深证指数,10278.73,2025-01-20 11:13:09,2025-01-17
上证指数,3254.54,2025-01-20 11:13:11,2025-01-20
深证指数,10293.42,2025-01-20 11:42:25,2025-01-17
上证指数,3257.24,2025-01-20 11:42:27,2025-01-20
深证指数,10292.72,2025-01-20 13:00:51,2025-01-17
上证指数,3258.21,2025-01-20 13:00:53,2025-01-20
深证指数,10262.41,2025-01-20 14:27:55,2025-01-17
上证指数,3246.71,2025-01-20 14:27:57,2025-01-20
深证指数,10256.4,2025-01-20 15:30:54,2025-01-17
上证指数,3244.38,2025-01-20 15:30:56,2025-01-20
深证指数,10256.4,2025-01-20 15:31:12,2025-01-17
上证指数,3244.38,2025-01-20 15:31:14,2025-01-20
深证指数,10256.4,2025-01-20 16:36:09,2025-01-20
上证指数,3244.38,2025-01-20 16:36:11,2025-01-20
深证指数,10256.4,2025-01-20 16:49:52,2025-01-20
上证指数,3244.38,2025-01-20 16:49:54,2025-01-20
深证指数,10256.4,2025-01-20 17:00:50,2025-01-20
上证指数,3244.38,2025-01-20 17:00:52,2025-01-20
深证指数,10256.4,2025-01-20 17:42:03,2025-01-20
上证指数,3244.38,2025-01-20 17:42:06,2025-01-20
深证指数,10256.4,2025-01-20 22:10:01,2025-01-20
上证指数,3244.38,2025-01-20 22:10:03,2025-01-20
深证指数,10256.4,2025-01-20 22:10:46,2025-01-20
深证指数,10256.4,2025-01-20 22:11:32,2025-01-20
深证指数,10256.4,2025-01-20 22:11:46,2025-01-20
深证指数,10256.4,2025-01-20 22:16:11,2025-01-20
深证指数,10256.4,2025-01-20 22:20:00,2025-01-20
深证指数,10256.4,2025-01-20 22:23:15,2025-01-20
上证指数,,2025-01-20 22:23:17,
深证指数,10256.4,2025-01-20 22:28:37,2025-01-20
上证指数,,2025-01-20 22:28:38,2025-01-19
深证指数,10256.4,2025-01-20 22:43:27,2025-01-20
上证指数,,2025-01-20 22:43:29,2025-01-19
深证指数,10256.4,2025-01-20 23:27:51,2025-01-20
上证指数,,2025-01-20 23:27:58,2025-01-19
深证指数,10256.4,2025-01-20 23:36:32,2025-01-20
深证指数,10256.4,2025-01-20 23:57:27,2025-01-20
深证指数,10256.4,2025-01-21 00:00:39,2025-01-20
深证指数,10256.4,2025-01-21 00:01:47,2025-01-20
深证指数,10256.4,2025-01-21 00:04:27,2025-01-20
深证指数,10256.4,2025-01-21 00:06:14,2025-01-20
深证指数,10256.40,2025-01-21 00:08:19,2025-01-20
上证指数,-,2025-01-21 00:08:20,2025-01-19
深证指数,10256.40,2025-01-21 00:10:53,2025-01-20
上证指数,3244.3776,2025-01-21 00:10:55,2025-01-19
深证指数,10256.40,2025-01-21 00:15:37,2025-01-20
上证指数,3244.3776,2025-01-21 00:15:38,
深证指数,10256.40,2025-01-21 00:16:10,2025-01-20
上证指数,3244.3776,2025-01-21 00:16:12,更新时间：2025-01-20  16:29:02
深证指数,10256.40,2025-01-21 00:18:29,2025-01-20
上证指数,3244.3776,2025-01-21 00:18:31,2025-01-20
深证指数,10256.40,2025-01-21 00:21:12,未获取到日期
上证指数,3244.3776,2025-01-21 00:21:13,2025-01-20
深证指数,10256.40,2025-01-21 00:58:01,
上证指数,3244.3776,2025-01-21 00:58:03,2025-01-20
深证指数,10256.40,2025-01-21 00:59:25,未获取到日期
上证指数,3244.3776,2025-01-21 00:59:27,2025-01-20
深证指数,10256.40,2025-01-21 01:02:22,×
上证指数,3244.3776,2025-01-21 01:02:24,2025-01-20
深证指数,10256.40,2025-01-21 01:04:12,2025-01-20
上证指数,3244.3776,2025-01-21 01:04:14,2025-01-20
深证指数,10256.40,2025-01-21 08:00:41,2025-01-20
上证指数,3244.3776,2025-01-21 08:00:43,2025-01-20
上证指数,3244.3776,2025-01-21 08:01:25,2025-01-20
深证指数,10256.40,2025-01-21 08:08:20,2025-01-20
上证指数,3244.3776,2025-01-21 08:08:22,2025-01-20
深证指数,10256.40,2025-01-21 08:08:27,2025-01-20
上证指数,3244.3776,2025-01-21 08:08:29,2025-01-20
深证指数,10256.40,2025-01-21 08:08:34,2025-01-20
上证指数,3244.3776,2025-01-21 08:08:36,2025-01-20
深证指数,10256.40,2025-01-21 08:08:54,2025-01-20
上证指数,3244.3776,2025-01-21 08:08:56,2025-01-20
深证指数,10256.40,2025-01-21 08:29:10,2025-01-20
上证指数,3244.3776,2025-01-21 08:29:12,2025-01-20
深证指数,10256.40,2025-01-21 08:52:48,2025-01-20
上证指数,3244.3266,2025-01-21 08:52:50,2025-01-21
深证指数,10256.40,2025-01-21 09:08:08,2025-01-20
上证指数,3244.3266,2025-01-21 09:08:10,2025-01-21
深证指数,10256.40,2025-01-21 09:24:07,2025-01-20
上证指数,3244.3266,2025-01-21 09:24:08,2025-01-21
深证指数,10323.12,2025-01-21 09:25:50,2025-01-20
上证指数,3256.8325,2025-01-21 09:25:52,2025-01-21
深证指数,10301.82,2025-01-21 09:31:07,2025-01-20
上证指数,3251.3582,2025-01-21 09:31:09,2025-01-21
深证指数,10283.46,2025-01-21 09:36:05,2025-01-21
上证指数,3240.1105,2025-01-21 09:36:07,2025-01-21
